day,traded,skip_reason,entry_spot,settle_spot,gamma_regime,vix_regime,half,short_put_k_w5,short_call_k_w5,breach_w5,breach_depth_w5,entry_credit_w5_mid,pnl_w5_mid,entry_credit_w5_f25,pnl_w5_f25,entry_credit_w5_f50,pnl_w5_f50,entry_credit_w5_full,pnl_w5_full,short_put_k_w10,short_call_k_w10,breach_w10,breach_depth_w10,entry_credit_w10_mid,pnl_w10_mid,entry_credit_w10_f25,pnl_w10_f25,entry_credit_w10_f50,pnl_w10_f50,entry_credit_w10_full,pnl_w10_full,short_put_k_w20,short_call_k_w20,breach_w20,breach_depth_w20,entry_credit_w20_mid,pnl_w20_mid,entry_credit_w20_f25,pnl_w20_f25,entry_credit_w20_f50,pnl_w20_f50,entry_credit_w20_full,pnl_w20_full,short_put_k_w30,short_call_k_w30,breach_w30,breach_depth_w30,entry_credit_w30_mid,pnl_w30_mid,entry_credit_w30_f25,pnl_w30_f25,entry_credit_w30_f50,pnl_w30_f50,entry_credit_w30_full,pnl_w30_full,short_put_k_w50,short_call_k_w50,breach_w50,breach_depth_w50,entry_credit_w50_mid,pnl_w50_mid,entry_credit_w50_f25,pnl_w50_f25,entry_credit_w50_f50,pnl_w50_f50,entry_credit_w50_full,pnl_w50_full
2022-01-03,True,,4785.695936532071,4795.874999985392,positive,contango,train,4770.0,4800.0,none,0.0,0.7,70.0,0.6500000000000001,65.00000000000001,0.6000000000000001,60.00000000000001,0.5,50.0,4770.0,4800.0,none,0.0,1.0499999999999998,105.0,1.0,100.0,0.95,95.0,0.8500000000000001,85.00000000000001,4770.0,4800.0,none,0.0,1.3,130.0,1.25,125.0,1.2,120.0,1.1,110.0,4770.0,4800.0,none,0.0,1.4,140.0,1.3625,136.25,1.325,132.5,1.25,125.0,4770.0,4800.0,none,0.0,1.425,142.5,1.38125,138.125,1.3375,133.75,1.25,125.0
2022-01-04,False,no 0dte chain,,,positive,contango,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-05,True,,4776.170817019284,4702.649999985619,positive,contango,train,4750.0,4795.0,put,5.0,1.125,-387.5,1.04375,-395.625,0.9625,-403.75,0.8,-420.0,4750.0,4795.0,put,10.0,1.925,-807.4999999999999,1.8437500000000004,-815.625,1.7625000000000002,-823.7500000000001,1.6,-840.0,4750.0,4795.0,put,20.0,2.75,-1725.0,2.6625,-1733.7499999999998,2.575,-1742.5,2.4000000000000004,-1760.0000000000002,4750.0,4795.0,put,30.0,3.075,-2692.5,2.98125,-2701.875,2.8875,-2711.25,2.7,-2730.0,4750.0,4795.0,put,47.350000014381294,3.35,-4400.000001438129,3.2750000000000004,-4407.500001438129,3.2,-4415.000001438129,3.0500000000000003,-4430.000001438129
2022-01-06,False,no 0dte chain,,,negative,contango,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,True,,4685.4215517309485,4676.674999985648,negative,contango,train,4665.0,4705.0,none,0.0,0.975,97.5,0.9312500000000002,93.12500000000004,0.8875000000000002,88.75000000000001,0.7999999999999999,80.0,4665.0,4705.0,none,0.0,1.625,162.5,1.5812500000000005,158.12500000000003,1.5375,153.75,1.4499999999999995,144.99999999999997,4665.0,4705.0,none,0.0,2.3000000000000003,230.00000000000003,2.25,225.0,2.2,220.00000000000003,2.1,210.0,4665.0,4705.0,none,0.0,2.575,257.5,2.53125,253.125,2.4875,248.75,2.4,240.0,4665.0,4705.0,none,0.0,2.775,277.5,2.73125,273.125,2.6875,268.74999999999994,2.6,260.0
2022-01-10,True,,4634.871310537625,4672.424999985414,negative,contango,train,4610.0,4660.0,call,5.0,1.075,-392.5,1.00625,-399.37500000000006,0.9374999999999996,-406.25,0.8,-420.0,4610.0,4660.0,call,10.0,1.8,-819.9999999999999,1.7374999999999998,-826.2499999999999,1.675,-832.4999999999999,1.5500000000000005,-844.9999999999999,4610.0,4660.0,call,12.424999985413706,2.55,-987.4999985413704,2.4875,-993.7499985413704,2.425,-999.9999985413704,2.3000000000000003,-1012.4999985413704,4610.0,4660.0,call,12.424999985413706,2.85,-957.4999985413706,2.8,-962.4999985413704,2.75,-967.4999985413706,2.65,-977.4999985413706,4610.0,4660.0,call,12.424999985413706,3.075,-934.9999985413708,3.01875,-940.6249985413704,2.9625,-946.2499985413706,2.85,-957.4999985413706
2022-01-11,False,no 0dte chain,,,negative,contango,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,True,,4720.021334939459,4725.524999985334,neutral,contango,train,4695.0,4740.0,none,0.0,1.075,107.5,1.0187499999999998,101.875,0.9625,96.25,0.8500000000000001,85.00000000000001,4695.0,4740.0,none,0.0,1.8,180.0,1.7374999999999998,173.74999999999997,1.675,167.5,1.5499999999999998,154.99999999999997,4695.0,4740.0,none,0.0,2.6,260.0,2.5500000000000003,255.00000000000003,2.5,250.0,2.4,240.0,4695.0,4740.0,none,0.0,2.925,292.5,2.88125,288.125,2.8375,283.75,2.75,275.0,4695.0,4740.0,none,0.0,3.1750000000000003,317.5,3.13125,313.125,3.0875,308.75,3.0,300.0
2022-01-13,False,no 0dte chain,,,positive,contango,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,True,,4635.3716314360445,4663.274999985491,negative,contango,train,4605.0,4665.0,none,0.0,1.025,102.5,0.96875,96.875,0.9124999999999996,91.24999999999996,0.8000000000000003,80.00000000000003,4605.0,4665.0,none,0.0,1.825,182.50000000000003,1.7687500000000005,176.87500000000006,1.7125,171.25,1.6,160.0,4605.0,4665.0,none,0.0,2.7,270.0,2.65,265.0,2.6,259.99999999999994,2.5,250.0,4605.0,4665.0,none,0.0,3.15,315.0,3.1,309.99999999999994,3.05,305.0,2.95,295.0,4605.0,4665.0,none,0.0,3.475,347.49999999999994,3.4312500000000004,343.12500000000006,3.3875,338.75,3.3000000000000003,330.0
