day,traded,skip_reason,entry_spot,gamma_regime,vix_regime,half,short_put_k_w5,short_call_k_w5,credit_mid_w5,credit_full_w5,entry_credit_w5_mid,pnl_w5_mid,exit_w5_mid,holdmin_w5_mid,entry_credit_w5_f25,pnl_w5_f25,exit_w5_f25,holdmin_w5_f25,entry_credit_w5_f50,pnl_w5_f50,exit_w5_f50,holdmin_w5_f50,entry_credit_w5_full,pnl_w5_full,exit_w5_full,holdmin_w5_full,short_put_k_w10,short_call_k_w10,credit_mid_w10,credit_full_w10,entry_credit_w10_mid,pnl_w10_mid,exit_w10_mid,holdmin_w10_mid,entry_credit_w10_f25,pnl_w10_f25,exit_w10_f25,holdmin_w10_f25,entry_credit_w10_f50,pnl_w10_f50,exit_w10_f50,holdmin_w10_f50,entry_credit_w10_full,pnl_w10_full,exit_w10_full,holdmin_w10_full,short_put_k_w20,short_call_k_w20,credit_mid_w20,credit_full_w20,entry_credit_w20_mid,pnl_w20_mid,exit_w20_mid,holdmin_w20_mid,entry_credit_w20_f25,pnl_w20_f25,exit_w20_f25,holdmin_w20_f25,entry_credit_w20_f50,pnl_w20_f50,exit_w20_f50,holdmin_w20_f50,entry_credit_w20_full,pnl_w20_full,exit_w20_full,holdmin_w20_full,short_put_k_w30,short_call_k_w30,credit_mid_w30,credit_full_w30,entry_credit_w30_mid,pnl_w30_mid,exit_w30_mid,holdmin_w30_mid,entry_credit_w30_f25,pnl_w30_f25,exit_w30_f25,holdmin_w30_f25,entry_credit_w30_f50,pnl_w30_f50,exit_w30_f50,holdmin_w30_f50,entry_credit_w30_full,pnl_w30_full,exit_w30_full,holdmin_w30_full,short_put_k_w50,short_call_k_w50,credit_mid_w50,credit_full_w50,entry_credit_w50_mid,pnl_w50_mid,exit_w50_mid,holdmin_w50_mid,entry_credit_w50_f25,pnl_w50_f25,exit_w50_f25,holdmin_w50_f25,entry_credit_w50_f50,pnl_w50_f50,exit_w50_f50,holdmin_w50_f50,entry_credit_w50_full,pnl_w50_full,exit_w50_full,holdmin_w50_full
2022-01-03,True,,4785.695936532071,positive,contango,train,4770.0,4800.0,0.7,0.5,0.7,19.999999999999996,target,100.0,0.6500000000000001,37.500000000000014,target,102.0,0.6000000000000001,30.00000000000001,target,102.0,0.5,-100.0,stop,45.0,4770.0,4800.0,1.0499999999999998,0.8500000000000001,1.0499999999999998,27.49999999999998,target,64.0,1.0,31.24999999999999,target,93.0,0.95,30.000000000000004,target,100.0,0.8500000000000001,45.00000000000001,target,102.0,4770.0,4800.0,1.3,1.1,1.3,35.00000000000002,target,62.0,1.25,34.375000000000014,target,64.0,1.2,31.24999999999998,target,85.0,1.1,35.00000000000001,target,100.0,4770.0,4800.0,1.4000000000000001,1.25,1.4000000000000001,45.00000000000003,target,62.0,1.3625,37.5,target,62.0,1.325,33.74999999999999,target,64.0,1.25,40.0,target,93.0,4770.0,4800.0,1.425,1.25,1.425,47.50000000000002,target,62.0,1.38125,39.37500000000001,target,62.0,1.3375,34.999999999999986,target,64.0,1.25,40.0,target,93.0
2022-01-04,False,no 0dte chain,nan,positive,contango,train,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan
2022-01-05,True,,4776.170817019284,positive,contango,train,4750.0,4795.0,1.125,0.8,1.125,-225.00000000000014,stop,41.0,1.04375,-220.6249999999998,stop,40.0,0.9624999999999999,-202.49999999999991,stop,35.0,0.8,-164.99999999999997,stop,19.0,4750.0,4795.0,1.925,1.6,1.925,-434.99999999999994,stop,41.0,1.8437500000000004,-390.6249999999998,stop,40.0,1.7625000000000002,-365.00000000000006,stop,36.0,1.6,-385.0,stop,35.0,4750.0,4795.0,2.75,2.4,2.75,-567.5000000000001,stop,36.0,2.6625,-553.125,stop,35.0,2.575,-573.75,stop,35.0,2.4000000000000004,-490.00000000000006,stop,34.0,4750.0,4795.0,3.075,2.7,3.075,80.00000000000003,target,9.0,2.98125,-699.9999999999999,stop,35.0,2.8874999999999997,-720.0000000000001,stop,35.0,2.7,-595.0,stop,34.0,4750.0,4795.0,3.35,3.05,3.35,89.99999999999999,target,9.0,3.2750000000000004,-794.375,stop,35.0,3.1999999999999997,-811.2500000000001,stop,35.0,3.0500000000000003,-640.0,stop,34.0
2022-01-06,False,no 0dte chain,nan,negative,contango,train,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan
2022-01-07,True,,4685.4215517309485,negative,contango,train,4665.0,4705.0,0.9750000000000001,0.7999999999999999,0.9750000000000001,25.00000000000002,target,41.0,0.9312500000000002,31.250000000000032,target,69.0,0.8875000000000002,22.50000000000002,target,69.0,0.7999999999999999,20.000000000000007,target,73.0,4665.0,4705.0,1.625,1.4499999999999997,1.625,42.50000000000001,target,39.0,1.5812500000000003,44.37500000000006,target,41.0,1.5375,48.75000000000003,target,60.0,1.4499999999999997,39.99999999999997,target,69.0,4665.0,4705.0,2.3000000000000003,2.0999999999999996,2.3000000000000003,67.50000000000003,target,39.0,2.25,58.12500000000003,target,39.0,2.2,55.00000000000001,target,40.0,2.0999999999999996,54.999999999999986,target,57.0,4665.0,4705.0,2.5749999999999997,2.4,2.5749999999999997,77.49999999999997,target,39.0,2.53125,69.37500000000001,target,39.0,2.4875,73.74999999999996,target,40.0,2.4,65.00000000000001,target,41.0,4665.0,4705.0,2.775,2.5999999999999996,2.775,72.49999999999997,target,38.0,2.73125,79.37500000000004,target,39.0,2.6874999999999996,71.24999999999994,target,39.0,2.6,65.00000000000001,target,40.0
2022-01-10,True,,4634.871310537625,negative,contango,train,4610.0,4660.0,1.075,0.8,1.075,27.499999999999993,target,54.0,1.0062499999999999,26.249999999999996,target,67.0,0.9374999999999997,24.999999999999968,target,70.0,0.8,25.0,target,91.0,4610.0,4660.0,1.8,1.5500000000000003,1.8,44.99999999999999,target,53.0,1.7374999999999998,50.0,target,55.0,1.675,45.00000000000004,target,67.0,1.5500000000000003,45.000000000000014,target,70.0,4610.0,4660.0,2.55,2.3,2.55,67.49999999999996,target,52.0,2.4875,80.0,target,55.0,2.425,70.0,target,55.0,2.3000000000000003,60.00000000000003,target,68.0,4610.0,4660.0,2.85,2.6500000000000004,2.85,80.00000000000003,target,52.0,2.8,70.00000000000001,target,52.0,2.7499999999999996,81.24999999999996,target,55.0,2.65,75.0,target,66.0,4610.0,4660.0,3.0749999999999997,2.85,3.0749999999999997,89.99999999999999,target,52.0,3.01875,78.75000000000001,target,52.0,2.9625,93.75,target,55.0,2.85,75.00000000000004,target,55.0
2022-01-11,False,no 0dte chain,nan,negative,contango,train,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan
2022-01-12,True,,4720.021334939459,neutral,contango,train,4695.0,4740.0,1.075,0.8500000000000001,1.075,27.500000000000014,target,41.0,1.0187499999999998,26.875000000000014,target,43.0,0.9625,28.75000000000002,target,61.0,0.8500000000000001,25.00000000000001,target,69.0,4695.0,4740.0,1.8,1.5499999999999998,1.8,47.499999999999986,target,33.0,1.7374999999999998,43.75,target,41.0,1.675,55.00000000000001,target,43.0,1.5499999999999998,44.99999999999997,target,61.0,4695.0,4740.0,2.6,2.4000000000000004,2.6,82.5,target,33.0,2.5500000000000003,73.12500000000001,target,33.0,2.5,63.74999999999999,target,33.0,2.4,70.0,target,42.0,4695.0,4740.0,2.925,2.75,2.925,74.99999999999996,target,32.0,2.88125,86.24999999999999,target,33.0,2.8375,77.49999999999999,target,33.0,2.75,70.00000000000001,target,35.0,4695.0,4740.0,3.1750000000000003,3.0,3.1750000000000003,89.99999999999999,target,32.0,3.13125,82.49999999999997,target,32.0,3.0875,96.24999999999999,target,33.0,3.0,79.99999999999999,target,33.0
2022-01-13,False,no 0dte chain,nan,positive,contango,train,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,,nan
2022-01-14,True,,4635.3716314360445,negative,contango,train,4605.0,4665.0,1.0250000000000001,0.8,1.0250000000000001,27.500000000000014,target,60.0,0.96875,25.0,target,68.0,0.9124999999999996,24.99999999999998,target,76.0,0.8000000000000003,40.00000000000003,target,120.0,4605.0,4665.0,1.8250000000000002,1.6,1.8250000000000002,55.00000000000001,target,60.0,1.7687500000000005,46.87500000000004,target,67.0,1.7125,51.24999999999997,target,68.0,1.5999999999999999,44.99999999999997,target,71.0,4605.0,4665.0,2.7,2.5,2.7,67.50000000000003,target,58.0,2.65,66.875,target,59.0,2.5999999999999996,69.99999999999997,target,60.0,2.5,64.99999999999999,target,67.0,4605.0,4665.0,3.15,2.95,3.15,82.49999999999997,target,46.0,3.0999999999999996,86.87499999999999,target,59.0,3.05,76.25000000000001,target,59.0,2.95,79.99999999999999,target,60.0,4605.0,4665.0,3.4749999999999996,3.3,3.4749999999999996,87.49999999999996,target,44.0,3.4312500000000004,86.24999999999999,target,46.0,3.3874999999999997,91.24999999999997,target,55.0,3.3000000000000003,85.00000000000001,target,59.0
