ticker,in_tiingo_us,in_tiingo_any,tiingo_exchange,tiingo_enddate,in_sec_current,sec_cik,delisted_like,not_current_sec
AA,True,True,NYSE,2026-06-30,True,1675149,False,False
AAOI,True,True,NASDAQ,2026-06-30,True,1158114,False,False
AAON,True,True,NASDAQ,2026-06-30,True,824142,False,False
AAPL,True,True,NASDAQ,2026-06-30,True,320193,False,False
AAXN,False,False,,,False,,False,True
ABCB,True,True,NYSE,2026-06-30,True,351569,False,False
ACAD,True,True,NASDAQ,2026-06-30,True,1070494,False,False
ACIW,True,True,NASDAQ,2026-06-30,True,935036,False,False
ACLS,True,True,NASDAQ,2026-06-30,True,1113232,False,False
ACLX,True,True,NASDAQ,2026-04-28,False,,False,True
ACM,True,True,NYSE,2026-06-30,True,868857,False,False
ACMR,True,True,NASDAQ,2026-06-30,True,1680062,False,False
ACN,True,True,NYSE,2026-06-30,True,1467373,False,False
ACT,True,True,NASDAQ,2026-06-30,True,1823529,False,False
ADBE,True,True,NASDAQ,2026-06-30,True,796343,False,False
ADI,True,True,NASDAQ,2026-06-30,True,6281,False,False
ADM,True,True,NYSE,2026-06-30,True,7084,False,False
ADMA,True,True,NASDAQ,2026-06-30,True,1368514,False,False
ADPT,True,True,NASDAQ,2026-06-30,True,1478320,False,False
ADSK,True,True,NASDAQ,2026-06-30,True,769397,False,False
ADUS,True,True,NASDAQ,2026-06-30,True,1468328,False,False
AEHR,True,True,NASDAQ,2026-06-30,True,1040470,False,False
AEIS,True,True,NASDAQ,2026-06-30,True,927003,False,False
AEM,True,True,NYSE,2026-06-30,True,2809,False,False
AFL,True,True,NYSE,2026-06-30,True,4977,False,False
AFRM,True,True,NASDAQ,2026-06-30,True,1820953,False,False
AGX,True,True,NYSE,2026-06-30,True,100591,False,False
AIG,True,True,NYSE,2026-06-30,True,5272,False,False
AIT,True,True,NYSE,2026-06-30,True,109563,False,False
AIZ,True,True,NYSE,2026-06-30,True,1267238,False,False
ALAB,True,True,NASDAQ,2026-06-30,True,1736297,False,False
ALB,True,True,NYSE,2026-06-30,True,915913,False,False
ALKS,True,True,NASDAQ,2026-06-30,True,1520262,False,False
ALMU,True,True,NASDAQ,2026-06-30,True,1828805,False,False
ALNY,True,True,NASDAQ,2026-06-30,True,1178670,False,False
ALRM,True,True,NASDAQ,2026-06-30,True,1459200,False,False
AM,True,True,NYSE,2026-06-30,True,1623925,False,False
AMAT,True,True,NASDAQ,2026-06-30,True,6951,False,False
AMD,True,True,NASDAQ,2026-06-30,True,2488,False,False
AME,True,True,NYSE,2026-06-30,True,1037868,False,False
AMED,True,True,NASDAQ,2025-08-14,False,,True,True
AMEH,True,True,NASDAQ,2024-02-26,False,,True,True
AMGN,True,True,NASDAQ,2026-06-30,True,318154,False,False
AMN,True,True,NYSE,2026-06-30,True,1142750,False,False
AMPH,True,True,NASDAQ,2026-06-30,True,1297184,False,False
AMRN,True,True,NASDAQ,2026-06-30,True,897448,False,False
AMSC,True,True,NASDAQ,2026-06-30,True,880807,False,False
AMZN,True,True,NASDAQ,2026-06-30,True,1018724,False,False
AN,True,True,NYSE,2026-06-30,True,350698,False,False
ANET,True,True,NYSE,2026-06-30,True,1596532,False,False
APH,True,True,NYSE,2026-06-30,True,820313,False,False
APLD,True,True,NASDAQ,2026-06-30,True,1144879,False,False
APP,True,True,NASDAQ,2026-06-30,True,1751008,False,False
APPF,True,True,NASDAQ,2026-06-30,True,1433195,False,False
APPS,True,True,NASDAQ,2026-06-30,True,317788,False,False
AR,True,True,NYSE,2026-06-30,True,1433270,False,False
ARCH,True,True,NYSE,2025-01-14,False,,True,True
ARIS,True,True,NYSE,2026-06-30,True,1964504,False,False
ARKK,True,True,BATS,2026-06-30,False,,False,True
ARM,True,True,NASDAQ,2026-06-30,True,1973239,False,False
ARNA,True,True,NASDAQ,2022-03-15,False,,True,True
AROC,True,True,NYSE,2026-06-30,True,1389050,False,False
ARRY,True,True,NASDAQ,2026-06-30,True,1820721,False,False
ARWR,True,True,NASDAQ,2026-06-30,True,879407,False,False
ASH,True,True,NYSE,2026-06-30,True,1674862,False,False
ASML,True,True,NASDAQ,2026-06-30,True,937966,False,False
ASND,True,True,NASDAQ,2026-06-30,True,1612042,False,False
ASO,True,True,NASDAQ,2026-06-30,True,1817358,False,False
ASPN,True,True,NYSE,2026-06-30,True,1145986,False,False
ASTS,True,True,NASDAQ,2026-06-30,True,1780312,False,False
ATAT,True,True,NASDAQ,2026-06-30,True,1853717,False,False
ATGE,False,False,,,False,,False,True
ATHM,True,True,NYSE,2026-06-30,True,1527636,False,False
ATI,True,True,NYSE,2026-06-30,True,1018963,False,False
ATKR,True,True,NYSE,2026-06-30,True,1666138,False,False
ATRO,True,True,NASDAQ,2026-06-30,True,8063,False,False
ATUS,False,False,,,False,,False,True
AU,True,True,NYSE,2026-06-30,True,1973832,False,False
AUDC,True,True,NASDAQ,2026-06-30,True,1086434,False,False
AVGO,True,True,NASDAQ,2026-06-30,True,1730168,False,False
AVLR,True,True,NYSE,2022-10-28,False,,True,True
AVNT,True,True,NYSE,2026-06-30,True,1122976,False,False
AVTR,True,True,NYSE,2026-06-30,True,1722482,False,False
AVY,True,True,NYSE,2026-06-30,True,8818,False,False
AWI,True,True,NYSE,2026-06-30,True,7431,False,False
AXGN,True,True,NASDAQ,2026-06-30,True,805928,False,False
AXNX,True,True,NASDAQ,2024-11-15,False,,True,True
AXON,True,True,NASDAQ,2026-06-30,True,1069183,False,False
AXP,True,True,NYSE,2026-06-30,True,4962,False,False
AXS,True,True,NYSE,2026-06-30,True,1214816,False,False
AXSM,True,True,NASDAQ,2026-06-30,True,1579428,False,False
AYI,True,True,NYSE,2026-06-30,True,1144215,False,False
AZN,True,True,NYSE,2026-06-30,True,901832,False,False
AZPN,True,True,NASDAQ,2025-03-12,False,,True,True
AZZ,True,True,NYSE,2026-06-30,True,8947,False,False
BABA,True,True,NYSE,2026-06-30,True,1577552,False,False
BAC,True,True,NYSE,2026-06-30,True,70858,False,False
BAH,True,True,NYSE,2026-06-30,True,1443646,False,False
BAM,True,True,NYSE,2026-06-30,True,1937926,False,False
BAX,True,True,NYSE,2026-06-30,True,10456,False,False
BBIO,True,True,NASDAQ,2026-06-30,True,1743881,False,False
BEAT,True,True,NASDAQ,2026-06-30,True,1779372,False,False
BEKE,True,True,NYSE,2026-06-30,True,1809587,False,False
BHVN,True,True,NYSE,2026-06-30,True,1935979,False,False
BILI,True,True,NASDAQ,2026-06-30,True,1723690,False,False
BILL,True,True,NYSE,2026-06-30,True,1786352,False,False
BIRK,True,True,NYSE,2026-06-30,True,1977102,False,False
BJ,True,True,NYSE,2026-06-30,True,1531152,False,False
BL,True,True,NASDAQ,2026-06-30,True,1666134,False,False
BLBD,True,True,NASDAQ,2026-06-30,True,1589526,False,False
BLD,True,True,NYSE,2026-06-30,True,1633931,False,False
