ticker,buy_date,as_of,date_gap_days,weak_join,actual_ret,delta_dollar_stopcol,entry_px,exit_px,found,pattern,pivot_err,depth_pct,priceable,gt_pivot_ok,miss_reason,pl_dollar,bucket
AAON,2024-01-22,2024-01-22,0,False,0.0682,0.0,72.0323,76.9464,True,cup_with_handle,0.0185,0.3259,True,True,,682.0,CONFIRMED_clean
AAPL,2024-06-21,2024-06-21,0,False,0.0006,-5089.88,210.888,211.0101,False,,,,True,True,handle:ambiguous_or_defect,5.999999999999999,rejected_handle
AAPL,2025-11-10,2025-11-10,0,False,-0.0558,0.0,271.3409,256.192,True,flat_base,0.0701,0.1202,True,True,,-558.0,found_pivot_off_or_nan
ACMR,2024-01-11,2024-01-11,0,False,-0.1813,5327.99,21.1937,17.3506,False,,,,True,True,depth:base_deeper_than_textbook,-1813.0,rejected_DEEP
ADMA,2025-04-14,2025-04-14,0,False,-0.0828,346.43,20.6577,18.9477,False,,,,True,True,depth:base_deeper_than_textbook,-828.0,rejected_DEEP
ADMA,2025-04-29,2025-04-29,0,False,-0.1778,2428.0,24.5703,20.2012,False,,,,True,True,extended_entry:price>pivot+5%,-1778.0000000000002,rejected_EXTENDED
AEM,2024-03-27,2024-03-27,0,False,0.3422,0.0,57.4885,77.1603,True,cup_with_handle,0.0143,0.2333,True,True,,3422.0,CONFIRMED_clean
AGX,2025-01-14,2025-01-14,0,False,-0.2015,10628.52,169.909,135.6718,True,double_bottom,0.0006,0.248,True,True,,-2015.0000000000002,CONFIRMED_clean
AIT,2023-08-15,2023-08-15,0,False,0.0047,0.0,151.4795,152.195,True,cup_with_handle,0.0323,0.2104,True,True,,47.0,CONFIRMED_clean
ALMU,2026-05-05,2026-05-05,0,False,-0.1669,4587.39,25.1426,20.9468,False,,,,True,True,extended_entry:price>pivot+5%,-1669.0,rejected_EXTENDED
AMSC,2024-12-04,2024-12-04,0,False,-0.2826,15580.07,35.7111,25.6209,False,,,,True,True,extended_entry:price>pivot+5%,-2826.0,rejected_EXTENDED
AMSC,2025-07-02,2025-07-02,0,False,0.0138,-4374.4,39.768,40.3175,False,,,,True,False,depth:base_deeper_than_textbook,138.0,rejected_DEEP
ANET,2025-09-09,2025-09-09,0,False,-0.0224,0.0,141.4951,138.3228,True,flat_base,0.157,0.1229,True,True,,-224.0,found_pivot_off_or_nan
APH,2024-11-13,2024-11-13,0,False,-0.0434,0.0,72.335,69.195,False,,,,True,True,depth:base_deeper_than_textbook,-434.0,rejected_DEEP
APH,2026-01-12,2026-01-12,0,False,-0.0604,-591.78,145.62,136.8199,True,double_bottom,0.002,0.1485,True,True,,-604.0,CONFIRMED_clean
APLD,2026-01-21,2026-01-21,0,False,-0.4148,23424.31,38.3678,22.452,False,,,,True,True,depth:base_deeper_than_textbook,-4148.0,rejected_DEEP
APP,2025-08-26,2025-08-26,0,False,0.1437,0.0,462.8461,529.3555,True,cup_with_handle,0.0035,0.3219,True,True,,1437.0,CONFIRMED_clean
APP,2025-12-04,2025-12-04,0,False,-0.1099,2446.18,678.2649,603.71,True,double_bottom,0.0001,0.2995,True,True,,-1099.0,CONFIRMED_clean
APPF,2023-11-14,2023-11-14,0,False,-0.0982,1435.55,205.4317,185.2607,True,cup_with_handle,0.0475,0.1745,True,True,,-982.0,CONFIRMED_clean
ARM,2024-04-11,2024-04-11,0,False,-0.0658,-124.89,131.0755,122.4567,True,double_bottom,0.0322,0.1994,True,True,,-658.0,CONFIRMED_clean
AXGN,2024-12-26,2024-12-26,0,False,-0.2169,5578.51,16.9926,13.3067,True,double_bottom,0.0774,0.332,True,True,,-2169.0,found_pivot_off_or_nan
AXON,2023-11-08,2023-11-08,0,False,0.3334,0.0,228.3659,304.5027,True,double_bottom,0.0755,0.2432,True,True,,3333.9999999999995,found_pivot_off_or_nan
AXON,2025-02-18,2023-11-03,473,True,-0.2419,15760.28,701.3249,531.64,True,double_bottom,,0.2374,True,False,,-2419.0,found_pivot_off_or_nan
BIRK,2024-02-22,2024-02-22,0,False,-0.0928,-271.72,52.9713,48.0566,True,double_bottom,0.045,0.2182,True,True,,-927.9999999999999,CONFIRMED_clean
BLBD,2024-01-30,2024-01-30,0,False,0.1189,0.0,30.0081,33.5752,True,double_bottom,0.0035,0.1925,True,True,,1189.0,CONFIRMED_clean
BPMC,2024-02-27,2024-02-27,0,False,-0.0685,-105.81,97.2016,90.5418,True,double_bottom,0.0775,0.2767,True,True,,-685.0,found_pivot_off_or_nan
CCJ,2024-04-12,2025-08-28,503,True,-0.0487,0.0,51.76,49.2368,True,double_bottom,0.0013,0.1414,True,True,,-487.0,CONFIRMED_clean
CCJ,2025-08-28,2025-08-28,0,False,-0.0017,-4899.55,79.4756,79.3433,True,double_bottom,0.0013,0.1414,True,True,,-17.0,CONFIRMED_clean
CLS,2026-04-13,2026-04-13,0,False,-0.0185,0.0,362.3395,355.6358,True,double_bottom,0.0769,0.3372,True,True,,-185.0,found_pivot_off_or_nan
CRDO,2025-07-02,2025-07-02,0,False,0.4776,0.0,92.2492,136.3041,False,,,,True,True,extended_entry:price>pivot+5%,4776.0,rejected_EXTENDED
CRDO,2026-05-05,2026-05-05,0,False,-0.1311,4502.62,194.4958,169.0,False,,,,True,True,depth:base_deeper_than_textbook,-1311.0,rejected_DEEP
CROX,2024-05-28,2024-05-28,0,False,-0.0568,0.0,151.8833,143.26,True,double_bottom,0.0086,0.2371,True,True,,-568.0,CONFIRMED_clean
DDOG,2023-12-26,2023-12-26,0,False,-0.0544,-916.97,130.67,123.5571,True,double_bottom,0.151,0.376,True,True,,-544.0,found_pivot_off_or_nan
DKS,2025-02-11,2025-02-11,0,False,-0.0646,-329.57,242.2693,226.6147,True,cup_with_handle,0.0516,0.2366,True,True,,-646.0,found_pivot_off_or_nan
DUOL,2023-10-09,2023-10-09,0,False,-0.1365,2772.55,173.8909,150.1622,True,double_bottom,0.0302,0.3023,True,True,,-1365.0,CONFIRMED_clean
DXCM,2023-06-29,2023-06-29,0,False,-0.0243,0.0,128.41,125.2898,True,double_bottom,0.023,0.163,True,True,,-243.0,CONFIRMED_clean
ELF,2024-06-18,2024-06-18,0,False,-0.107,2148.78,210.8544,188.3015,True,double_bottom,0.0975,0.2988,True,True,,-1070.0,found_pivot_off_or_nan
ERJ,2024-05-14,2024-05-14,0,False,0.2097,0.0,28.8988,34.9582,False,,,,False,,data_gap:no_price,2097.0,no_base_datagap
FIX,2024-08-27,2024-08-21,6,False,-0.0869,1198.4,343.089,313.2751,True,double_bottom,0.0003,0.2067,True,True,,-869.0,CONFIRMED_clean
FTNT,2025-02-07,2025-02-07,0,False,-0.1024,1501.8,105.4763,94.68,True,double_bottom,0.001,0.1785,True,True,,-1024.0,CONFIRMED_clean
GEV,2025-01-07,2025-01-07,0,False,-0.0218,-4227.87,368.5652,360.5332,True,double_bottom,0.0011,0.165,True,True,,-218.0,CONFIRMED_clean
GEV,2025-04-24,2025-04-24,0,False,0.6185,0.0,377.422,610.8763,True,double_bottom,0.0003,0.312,True,True,,6185.000000000001,CONFIRMED_clean
GEV,2025-12-09,2025-12-09,0,False,0.7939,0.0,643.42,1154.2551,True,double_bottom,0.1034,0.1716,True,True,,7939.000000000001,found_pivot_off_or_nan
HIMS,2024-10-22,2024-10-22,0,False,-0.0936,1413.12,23.8336,21.6024,False,,,,True,True,depth:base_deeper_than_textbook,-936.0,rejected_DEEP
HLI,2025-08-26,2025-08-26,0,False,-0.0047,0.0,198.82,197.8846,True,cup_with_handle,0.0962,0.312,True,True,,-47.0,found_pivot_off_or_nan
HMY,2024-03-27,2024-03-27,0,False,0.15,0.0,8.6074,9.8983,False,,,,True,True,extended_entry:price>pivot+5%,1500.0,rejected_EXTENDED
HOOD,2025-05-19,2025-05-19,0,False,0.4356,0.0,63.195,90.725,False,,,,True,True,depth:base_deeper_than_textbook,4356.0,rejected_DEEP
HXL,2023-06-29,2023-07-05,6,False,-0.1118,2131.25,76.6216,68.0579,True,cup_with_handle,0.0349,0.1538,True,True,,-1118.0,CONFIRMED_clean
IBIT,2024-06-03,2024-06-03,0,False,-0.0832,1117.35,40.1218,36.785,True,double_bottom,0.0556,0.2184,True,True,,-832.0,found_pivot_off_or_nan
IBIT,2024-10-28,2024-10-28,0,False,0.0998,-12566.58,45.4834,50.0214,True,double_bottom,0.0119,0.3115,True,True,,998.0,CONFIRMED_clean
IBKR,2024-09-19,2024-09-19,0,False,0.4198,0.0,132.0782,187.5195,True,double_bottom,0.055,0.2228,True,True,,4198.0,found_pivot_off_or_nan
IOT,2024-02-09,2024-02-09,0,False,0.0001,-3871.51,34.9027,34.9046,True,cup_with_handle,0.1068,0.1669,True,True,,1.0,found_pivot_off_or_nan
IR,2024-07-22,2024-07-22,0,False,-0.1078,2211.0,99.6763,88.93,True,cup_with_handle,0.0369,0.1317,True,True,,-1078.0,CONFIRMED_clean
IREN,2026-06-01,2026-06-01,0,False,-0.2722,10182.21,65.799,47.89,False,,,,True,True,depth:base_deeper_than_textbook,-2722.0,rejected_DEEP
KD,2023-11-13,2023-11-13,0,False,0.2115,0.0,17.8845,21.6673,True,double_bottom,0.0953,0.2273,True,True,,2115.0,found_pivot_off_or_nan
KRMN,2026-01-05,2026-01-05,0,False,0.1993,0.0,80.13,96.101,True,double_bottom,0.0853,0.3766,True,True,,1993.0,found_pivot_off_or_nan
LOAR,2025-05-05,2025-05-05,0,False,-0.1425,1987.7,98.0004,84.0389,True,double_bottom,0.0694,0.3737,True,True,,-1424.9999999999998,found_pivot_off_or_nan
MCK,2023-06-27,2023-06-27,0,False,-0.0411,0.0,413.24,396.2534,True,double_bottom,0.0248,0.2089,True,True,,-411.0,CONFIRMED_clean
MDB,2024-02-05,2024-02-05,0,False,-0.0321,0.0,450.2796,435.8399,True,double_bottom,0.0389,0.2079,True,True,,-320.99999999999994,CONFIRMED_clean
MNSO,2023-07-28,2023-07-28,0,False,0.0182,-3645.88,20.491,20.8648,True,double_bottom,0.0524,0.3293,True,True,,182.0,found_pivot_off_or_nan
