section,config,exit_rule,timing,sizing,total_ret,cagr,max_dd,win_rate,n_positions,n_skipped,pl_2023H2,pl_2024,pl_2025,pl_2026H1,final_equity
grid,E1.-.his,E1,0,his,0.1136,0.0365,-0.1379,0.3305,118,0,-36632,71198,147627,-108375,723818
grid,E1.-.ew,E1,0,ew,0.3042,0.0926,-0.1568,0.3097,113,5,-64355,224923,171717,-134526,847760
grid,E1.T.his,E1,1,his,0.0988,0.0319,-0.1346,0.3394,109,9,-36632,48654,156067,-103839,714250
grid,E1.T.ew,E1,1,ew,0.2861,0.0875,-0.1402,0.3366,101,17,-64355,177694,130823,-58220,835943
grid,E2.-.his,E2,0,his,-0.0438,-0.0149,-0.1991,0.2373,118,0,-33252,-10384,48256,-33059,621561
grid,E2.-.ew,E2,0,ew,0.2314,0.0726,-0.2063,0.2393,117,1,-54821,139709,66777,-1248,800416
grid,E2.T.his,E2,1,his,0.09,0.0294,-0.0811,0.2478,113,5,-33252,63430,57214,-28874,708517
grid,E2.T.ew,E2,1,ew,0.5575,0.1609,-0.1281,0.2667,105,13,-54821,236997,162724,17467,1012366
grid,E3.-.his,E3,0,his,0.186,0.0583,-0.2177,0.2966,118,0,-34433,-10556,148357,17555,770923
grid,E3.-.ew,E3,0,ew,0.485,0.1405,-0.3173,0.2982,114,4,-59844,123009,204823,47292,965279
grid,E3.T.his,E3,1,his,0.3058,0.0927,-0.1128,0.3028,109,9,-34433,63234,147476,22498,848775
grid,E3.T.ew,E3,1,ew,0.7394,0.202,-0.148,0.2917,96,22,-59844,279634,296088,-35239,1130639
grid,E4.-.his,E4,0,his,0.0427,0.0141,-0.0929,0.3475,118,0,-21253,20765,24202,4049,677762
grid,E4.-.ew,E4,0,ew,0.1642,0.0521,-0.1122,0.3475,118,0,-41427,66686,51155,30343,756757
grid,E4.T.his,E4,1,his,-0.0065,-0.0022,-0.1366,0.3423,111,7,-21253,-20690,33086,4610,645753
grid,E4.T.ew,E4,1,ew,0.1176,0.0378,-0.129,0.3519,108,10,-41427,23333,86287,8220,726413

winner_table,symbol,buy,his_sell,his_ret,E2_ret,E3_exit,E3_ret,E3_vs_his,E4_ret,E4_vs_his
winner,OKLO,2025-01-06,2025-02-21,0.3176,-0.0753,2025-02-25,0.069,-0.2486,0.225,-0.0926
winner,OKLO,2025-07-16,2025-10-15,1.3841,-0.07,2025-11-04,0.7435,-0.6406,0.225,-1.1591
winner,MSTR,2024-10-15,2024-11-18,1.1343,1.1343,2024-12-30,0.5592,-0.5751,0.225,-0.9093
winner,MSTR,2024-10-15,2025-02-24,0.3643,0.3643,2024-12-30,0.5592,0.1948,0.225,-0.1393
winner,VKTX,2024-01-18,2024-02-21,0.6213,0.6213,2024-04-24,2.1074,1.4861,0.225,-0.3963
winner,VKTX,2024-01-18,2024-06-04,1.6187,1.6187,2024-04-24,2.1074,0.4887,0.225,-1.3937
winner,RKLB,2025-06-09,2025-11-06,0.5973,-0.07,2025-06-10,-0.07,-0.6673,-0.07,-0.6673
winner,GEV,2025-01-07,2025-02-20,-0.0218,-0.0785,2025-01-27,-0.1045,-0.0827,-0.1045,-0.0827
winner,GEV,2025-04-24,2025-08-15,0.6185,0.6185,2025-09-03,0.6007,-0.0178,0.225,-0.3935
winner,GEV,2025-12-09,2026-04-23,0.7939,0.7939,2026-05-29,0.5486,-0.2454,0.225,-0.5689
winner,STRL,2026-02-10,2026-03-04,-0.1028,-0.1028,2026-03-30,-0.0786,0.0242,-0.0786,0.0242
winner,HOOD,2025-05-19,2025-07-01,0.4356,0.4356,2025-11-13,0.8909,0.4553,0.225,-0.2106
winner,RBLX,2025-05-12,2025-08-01,0.7057,0.7057,2025-10-03,0.6695,-0.0362,0.225,-0.4807
winner,CRDO,2025-07-02,2025-10-23,0.4776,0.4776,2025-10-14,0.4518,-0.0257,0.225,-0.2526
winner,CRDO,2026-05-05,2026-05-18,-0.1311,-0.07,2026-06-30,0.4049,0.536,0.225,0.3561
winner,AXON,2023-11-08,2024-04-15,0.3334,-0.07,2023-11-09,-0.07,-0.4034,-0.07,-0.4034
winner,AXON,2025-02-18,2025-02-20,-0.2419,-0.07,2025-02-19,-0.07,0.1719,-0.07,0.1719
winner,IBKR,2024-09-19,2024-12-03,0.4198,0.4198,2025-03-04,0.48,0.0603,0.225,-0.1948
