date,alloc_band,market_state_text,cash_pct,invested_pct,invested_source,n_positions,nasdaq_close,nasdaq_wk_ret,nasdaq_ytd,sp_close,sp_wk_ret,sp_ytd
2018-11-30,,Market in correction - New Uptrend 11/27,,0.3828,inferred_dir+pos,4,7330.54,0.05643,,,,
2018-12-07,,Confirmed uptrend - Nov 28,,0.2871,inferred_dir+pos,3,6969.25,-0.04929,,,,
2018-12-14,,Uptrend under pressure - Dec 4,,0.0957,inferred_dir+pos,1,6910.66,-0.00841,,,,
2018-12-21,,Uptrend under pressure - Dec 4,,0.0,inferred_dir+pos,0,6332.99,-0.08359,,,,
2018-12-28,,Market in correction 12/17.,,0.0,inferred_dir+pos,0,6584.52,0.03972,,,,
2019-01-04,,Market in correction 12/17.,,0.0,inferred_dir+pos,0,6738.86,0.02344,,,,
2019-01-11,,Confirmed uptrend 01/04/19,,0.0957,inferred_dir+pos,1,6971.48,0.03452,,,,
2019-01-18,,Confirmed uptrend 01/04/19,,0.2871,inferred_dir+pos,3,7157.23,0.02664,,,,
2019-01-25,,Confirmed uptrend 01/04/19,,0.3828,inferred_dir+pos,4,7164.86,0.00107,,,,
2019-02-01,,Confirmed uptrend 01/04/19,,0.4785,inferred_dir+pos,5,7263.87,0.01382,,,,
2019-02-08,,Confirmed uptrend 01/04/19,,0.6699,inferred_dir+pos,7,7298.2,0.00473,,,,
2019-02-15,,Confirmed uptrend 01/04/19,,0.6699,inferred_dir+pos,7,7472.41,0.02387,,,,
2019-02-22,,Confirmed uptrend 01/04/19,,0.6699,inferred_dir+pos,7,7527.54,0.00738,,,,
2019-03-01,,Confirmed uptrend 01/04/19,,0.6699,inferred_dir+pos,7,7595.35,0.00901,,,,
2019-03-08,,Confirmed uptrend 01/04/19,,0.6699,inferred_dir+pos,7,7408.14,-0.02465,,,,
2019-03-15,,Confirmed uptrend 01/04/19,,0.4785,inferred_dir+pos,5,7688.53,0.03785,,,,
2019-03-22,,Uptrend under pressure 03-22-19,,0.7656,inferred_dir+pos,8,7642.67,-0.00596,,,,
2019-03-29,,Uptrend under pressure 03-22-19,,0.7656,inferred_dir+pos,8,7729.32,0.01134,,,,
2019-04-05,,Uptrend resumes 04-01-19,,0.7656,inferred_dir+pos,8,7938.69,0.02709,,,,
2019-04-12,,Uptrend resumes 04-01-19,,0.7656,inferred_dir+pos,8,7984.16,0.00573,,,,
2019-04-19,,Uptrend resumes 04-01-19,0.2407,0.7593,cash_field,10,7998.06,0.00174,,,,
2019-04-26,,Uptrend resumes 04-01-19,0.3119,0.6881,cash_field,10,8146.4,0.01855,,,,
2019-05-03,,Uptrend resumes 04-01-19,0.1558,0.8442,cash_field,11,8164,0.00216,,,,
2019-05-10,,Uptrend under pressure 05/07/19,0.2619,0.7381,cash_field,10,7916.94,-0.03026,,,,
2019-05-17,,Market in correction 05/13,0.3639,0.6361,cash_field,9,7816.29,-0.01271,,,,
2019-05-24,,Market in correction 05/13,0.3449,0.6551,cash_field,8,7637.01,-0.02294,,,,
2019-05-31,,Market in correction 05/13,0.2741,0.7259,cash_field,9,7453.15,-0.02407,,,,
2019-06-07,,Market in correction 05/13,0.4742,0.5258,cash_field,7,7742.1,0.03877,,,,
2019-06-14,,Confirmed Uptrend 06/07/19,0.4637,0.5363,cash_field,7,7796.66,0.00705,,,,
2019-06-21,,Confirmed Uptrend 06/07/19,0.532,0.468,cash_field,8,8031.71,0.03015,,,,
2019-06-28,,Confirmed Uptrend 06/07/19,0.2583,0.7417,cash_field,10,8006.24,-0.00317,,,,
2019-07-05,,Confirmed Uptrend 06/07/19,0.3965,0.6035,cash_field,8,8161.79,0.01943,,,,
2019-07-12,,Confirmed Uptrend 06/07/19,0.1915,0.8085,cash_field,9,8244.15,0.01009,,,,
2019-07-19,,Confirmed Uptrend 06/07/19,0.1924,0.8076,cash_field,10,8146.49,-0.01185,,,,
2019-07-26,,Confirmed Uptrend 06/07/19,0.1152,0.8848,cash_field,11,8330.21,0.02255,,,,
2019-08-02,,Uptrend under pressure Aug 1,0.1101,0.8899,cash_field,11,8003.23,-0.03925,,,,
2019-08-09,,Market in correction Aug 6,0.3234,0.6766,cash_field,9,7959.14,-0.00551,,,,
2019-08-16,,Confirmed uptrend 08/13,0.5508,0.4492,cash_field,6,7895.99,-0.00793,,,,
2019-08-23,,Confirmed uptrend 08/13,0.6164,0.3836,cash_field,5,7751.77,-0.01826,,,,
2019-08-30,,Uptrend under pressure 08/14,0.3246,0.6754,cash_field,7,7959.57,0.02681,,,,
2019-09-06,,Uptrend resumes 09-06-19,0.2697,0.7303,cash_field,5,8103.07,0.01803,,,,
2019-09-13,,Uptrend resumes 09-06-19,0.2697,0.7303,cash_field,5,8176.72,0.00909,,,,
2019-09-20,,Uptrend resumes 09-06-19,0.0759,0.9241,cash_field,7,8117.68,-0.00722,,,,
2019-09-27,,Uptrend resumes 09-06-19,0.0192,0.9808,cash_field,8,7939.63,-0.0219,,,,
2019-10-04,,Uptrend under pressure 09/24,0.1573,0.8427,cash_field,7,7982.47,0.0054,,,,
2019-10-11,,Uptrend under pressure 09/24,0.3492,0.6508,cash_field,5,8057.04,0.00934,,,,
2019-10-18,,Uptrend resumes 10-15-19,,0.4785,inferred_dir+pos,5,8089.54,0.00403,,,,
2019-10-25,,Uptrend resumes 10-15-19,0.3628,0.6372,cash_field,5,8243.12,0.01899,,,,
2019-11-01,,Confirmed uptrend 10-15-19,0.2048,0.7952,cash_field,6,8383.94,0.01708,,,,
2019-11-08,,Confirmed uptrend 10-15-19,0.1014,0.8986,cash_field,7,8475.31,0.0106,,,,
2019-11-15,,Confirmed uptrend 10-15-19,0.0996,0.9004,cash_field,8,8540.83,0.00773,,,,
2019-11-22,,Confirmed uptrend 10-15-19,0.0822,0.9178,cash_field,8,8519.88,-0.00245,,,,
2019-11-29,,Confirmed uptrend 10-15-19,0.0835,0.9165,cash_field,8,8670.08,0.01763,,,,
2019-12-06,,Confirmed uptrend 10-15-19,0.0897,0.9103,cash_field,8,8656.53,-0.00156,,,,
2019-12-13,,Confirmed uptrend 10-15-19,0.0898,0.9102,cash_field,10,8734.88,0.00905,,,,
2019-12-20,,Confirmed uptrend 10-15-19,0.065,0.935,cash_field,10,8924.96,0.02176,,,,
2019-12-27,,Confirmed uptrend 10-15-19,0.3517,0.6483,cash_field,8,9006.62,0.00915,,,,
2019-12-31,,Confirmed uptrend 10-15-19,0.2461,0.7539,cash_field,9,8972.61,-0.00378,,,,
2020-01-03,,Confirmed uptrend 10-15-19,0.3637,0.6363,cash_field,8,9020.77,0.00157,,,,
2020-01-10,,Confirmed uptrend 10-15-19,0.1618,0.8382,cash_field,10,9178.86,0.01753,,,,
2020-01-17,,Confirmed uptrend 10-15-19,0.1031,0.8969,cash_field,9,9388.94,0.02289,,,,
2020-01-24,,Confirmed uptrend 10-15-19,0.1369,0.8631,cash_field,9,9314.91,-0.00788,,,,
2020-01-31,,Uptrend under pressure 01-31-20,0.2423,0.7577,cash_field,8,9150.94,-0.0176,,,,
2020-02-07,,Uptrend resumes 02-04-20,0.2073,0.7927,cash_field,9,9520.51,0.04039,,,,
2020-02-14,,Uptrend resumes 02-04-20,0.1624,0.8376,cash_field,9,9731.18,0.02213,,,,
2020-02-21,,Uptrend resumes 02-04-20,0.2978,0.7022,cash_field,8,9576.59,-0.01589,,,,
2020-02-28,,Market in correction 02/25/20,0.8375,0.1625,cash_field,2,8567.37,-0.10538,,,,
2020-03-06,,Market in correction 02/25/20,0.8619,0.1381,cash_field,1,8575.62,0.00096,,,,
2020-03-13,,Market in correction 02/25/20,1.0,0.0,cash_field,0,7874.88,-0.08171,,,,
2020-03-20,,Market in correction 02/25/20,1.0,0.0,cash_field,0,6879.52,-0.1264,,,,
2020-03-27,,Market in correction 02/25/20,1.0,0.0,cash_field,0,7498.74,0.09001,,,,
2020-04-03,,Confirmed Uptrend 04-02-20,1.0,0.0,cash_field,0,7373.08,-0.01723,,,,
2020-04-10,,Confirmed Uptrend 04-02-20,1.0,0.0,cash_field,0,8153.37,0.10583,,,,
2020-04-17,,Confirmed Uptrend 04-02-20,0.7386,0.2614,cash_field,5,8650.14,0.06093,,,,
2020-04-24,,Confirmed Uptrend 04-02-20,0.4107,0.5893,cash_field,6,8629.68,-0.00237,,,,
2020-05-01,,Confirmed Uptrend 04-02-20,0.2288,0.7712,cash_field,7,8604.95,-0.0024,,,,
2020-05-08,,Confirmed Uptrend 04-02-20,0.1783,0.8217,cash_field,7,9121.32,0.06001,,,,
2020-05-15,,Confirmed Uptrend 04-02-20,0.1789,0.8211,cash_field,7,9014.56,-0.0117,,,,
2020-05-22,,Confirmed Uptrend 04-02-20,0.1208,0.8792,cash_field,7,9324.59,0.03439,,,,
2020-05-29,,Confirmed Uptrend 04-02-20,0.1259,0.8741,cash_field,7,9489.87,0.01773,,,,
2020-06-05,,Confirmed Uptrend 04-02-20,0.0953,0.9047,cash_field,9,9814.08,0.03416,,3193.93,0.04915,
2020-06-12,,Confirmed Uptrend 04-02-20,0.2346,0.7654,cash_field,8,9588.81,-0.02295,,3041.31,-0.04778,
2020-06-19,,Confirmed Uptrend 04-02-20,0.0847,0.9153,cash_field,9,9946.12,0.03726,,3097.74,0.01855,
2020-06-26,,Confirmed Uptrend 04-02-20,0.0893,0.9107,cash_field,9,9757.22,-0.01899,,3009.05,-0.02863,
2020-07-03,,Confirmed Uptrend 04-02-20,0.0723,0.9277,cash_field,10,10207.63,0.04616,,3083.76,0.02483,
2020-07-10,,Confirmed Uptrend 04-02-20,0.0687,0.9313,cash_field,11,10617.45,0.04015,,3185.04,0.01758,
2020-07-17,,Confirmed Uptrend 04-02-20,0.2083,0.7917,cash_field,10,10503.19,-0.01076,,3224.73,0.01246,
2020-07-24,,Confirmed Uptrend 04-02-20,0.0931,0.9069,cash_field,9,10363.18,-0.01333,,3215.63,-0.00282,
2020-08-07,,Confirmed Uptrend 04-02-20,0.0782,0.9218,cash_field,10,11010.98,0.02473,,3351.28,0.02451,
2020-08-14,,Confirmed Uptrend 04-02-20,0.2574,0.7426,cash_field,9,11019.3,0.00076,,3372.85,0.00644,
2020-08-21,,Confirmed Uptrend 04-02-20,0.2591,0.7409,cash_field,8,11311.8,0.02654,,3397.16,0.00721,
2020-08-28,,Confirmed Uptrend 04-02-20,0.0446,0.9554,cash_field,10,11695.63,0.03393,,3508.01,0.03263,
2020-09-04,,Confirmed Uptrend 04-02-20,0.4428,0.5572,cash_field,4,11313.13,-0.0327,,3426.96,-0.0231,
2020-09-11,,Uptrend under pressure 09-08-20,0.4107,0.5893,cash_field,5,10853.55,-0.04062,,3340.97,-0.02509,
2020-09-18,,Uptrend under pressure 09-08-20,0.3759,0.6241,cash_field,5,10793.28,-0.00555,,3319.28,-0.00649,
2020-09-25,,Market in correction 09-23-20,0.5222,0.4778,cash_field,4,10913.56,0.01114,,3298.46,-0.00627,
2020-10-09,,Confirmed uptrend 09/30/20,0.4497,0.5503,cash_field,4,11579.95,0.04559,,3477.13,0.03843,
2020-10-16,,Confirmed uptrend 09/30/20,0.2591,0.7409,cash_field,6,11671.55,0.00791,,3483.81,0.00192,
2020-10-23,,Confirmed uptrend 09/30/20,0.2293,0.7707,cash_field,6,11548.28,-0.01056,,3465.39,-0.00529,
2020-11-06,,Confirmed uptrend 11/04/20,0.6111,0.3889,cash_field,4,11895.23,0.09015,,3509.44,0.07324,
2020-11-13,,Confirmed uptrend 11/04/20,0.4627,0.5373,cash_field,5,11829.29,-0.00554,,3585.14,0.02157,
2020-11-20,,Confirmed uptrend 11/04/20,0.2515,0.7485,cash_field,7,11854.97,0.00044,,3557.54,-0.0077,
2020-11-27,,Confirmed uptrend 11/04/20,0.2696,0.7304,cash_field,6,12205.85,0.0296,,3638.35,0.02272,
2020-12-04,,Confirmed uptrend 11/04/20,0.0612,0.9388,cash_field,8,12464.23,0.02117,,3699.12,0.0167,
2020-12-11,,Confirmed uptrend 11/04/20,0.0586,0.9414,cash_field,8,12377.87,-0.00693,,3663.46,-0.00964,
2020-12-18,,Confirmed uptrend 11/04/20,0.0294,0.9706,cash_field,8,12755.64,0.03052,,3709.41,0.01254,
2020-12-25,,Confirmed uptrend 11/04/20,0.0303,0.9697,cash_field,8,12804.73,0.00385,,3703.06,-0.00171,
2021-01-08,,Confirmed uptrend 11/04/20,0.0831,0.9169,cash_field,8,13201.98,0.02434,,3824.68,0.01827,
2021-01-15,,Confirmed uptrend 11/04/20,0.3248,0.6752,cash_field,6,12998.5,-0.01541,,3768.25,-0.01475,
2021-01-22,,Confirmed uptrend 11/04/20,0.151,0.849,cash_field,7,13543.06,0.04189,,3841.47,0.01943,
2021-01-29,,Uptrend under pressure 01/29/21,0.6773,0.3227,cash_field,3,13070.7,-0.03488,,3714.24,-0.03312,
2021-02-05,,Uptrend resumes 02-02-21,0.4812,0.5188,cash_field,5,13856.3,0.0601,,3886.83,0.04647,
2021-02-12,,Uptrend resumes 02-02-21,0.3501,0.6499,cash_field,7,14095.47,0.01726,,3934.83,0.01235,
2021-02-19,,Uptrend resumes 02-02-21,0.4807,0.5193,cash_field,5,13874.46,-0.01568,,3906.71,-0.00715,
2021-02-26,,Uptrend under pressure 02-25-21,1.0,0.0,cash_field,0,13192.34,-0.04916,,3811.15,-0.02446,
2021-03-05,,Market in correction 03/04,1.0,0.0,cash_field,0,12920.15,-0.02063,,3841.94,0.00808,
2021-03-12,,Uptrend resumes 03-10-21,1.0,0.0,cash_field,0,13319.86,0.03094,,3943.34,0.02639,
2021-03-19,,Uptrend resumes 03-10-21,0.8118,0.1882,cash_field,3,13215.23,-0.00786,,3913.1,-0.00767,
2021-03-26,,Uptrend under pressure 03-24-21,1.0,0.0,cash_field,0,13138.73,-0.00579,,3974.54,0.0157,
2021-04-02,,Uptrend resumes 03-26-21,1.0,0.0,cash_field,0,13480.11,0.02598,,4019.87,0.01141,
2021-04-09,,Uptrend resumes 03-26-21,0.4563,0.5437,cash_field,6,13900.18,0.03116,,4128.8,0.0271,
2021-04-16,,Uptrend resumes 03-26-21,0.4708,0.5292,cash_field,6,14052.34,0.01095,,4185.47,0.01373,
2021-04-23,,Uptrend resumes 03-26-21,0.3599,0.6401,cash_field,7,14016.81,-0.00253,,4180.11,-0.00128,
2021-04-30,,Uptrend resumes 03-26-21,0.2616,0.7384,cash_field,7,13962.68,-0.00386,,4181.17,0.00025,
2021-05-07,,Uptrend resumes 05-07-21,0.1602,0.8398,cash_field,8,13752.24,-0.01507,,4232.6,0.0123,
2021-05-14,,Uptrend under pressure 05-12-21,0.8921,0.1079,cash_field,1,13429.98,-0.02343,,4173.85,-0.01388,
2021-05-21,,Uptrend under pressure 05-12-21,1.0,0.0,cash_field,0,13470.99,0.00305,,4156.08,-0.00426,
2021-05-28,,Uptrend under pressure 05-12-21,1.0,0.0,cash_field,0,13748.74,0.02062,,4204.11,0.01156,
2021-06-04,,Uptrend resumes 06/04/21,1.0,0.0,cash_field,0,13814.49,0.00478,,4229.89,0.00613,
2021-06-11,,Uptrend resumes 06/04/21,1.0,0.0,cash_field,0,14069.42,0.01845,,4247.44,0.00415,
2021-06-18,,Uptrend under pressure 06/18,1.0,0.0,cash_field,0,14030.38,-0.00277,,4166.38,-0.01908,
2021-06-25,,Uptrnd resumes 06-22-21,1.0,0.0,cash_field,0,14360.39,0.02068,,4280.7,0.02744,
2021-07-02,,Uptrend resumes 06-22-21,0.6782,0.3218,cash_field,5,14639.32,0.01942,,4352.34,0.01674,
2021-07-09,,Uptrend resumes 06-22-21,0.4349,0.5651,cash_field,9,14701.92,0.00428,,4369.55,0.00395,
2021-07-16,,Uptrend under pressure 07/16/21,0.4499,0.5501,cash_field,9,14427.24,-0.01868,,4327.16,-0.0097,
2021-07-23,,Uptrend resumes 07/23,0.2599,0.7401,cash_field,10,14836.99,0.0284,,4411.81,0.01956,
2021-07-30,,Uptrend resumes 07/23,0.1492,0.8508,cash_field,11,14672.68,-0.01107,,4395.26,-0.00375,
2021-08-06,,Uptrend resumes 07/23,0.1496,0.8504,cash_field,11,14835.76,0.01111,,4436.52,0.00939,
2021-08-13,,Uptrend resumes 07/23,0.1514,0.8486,cash_field,11,14822.9,-0.00087,,4468,0.0071,
2021-08-20,,Uptrend resumes 07/23,0.1521,0.8479,cash_field,11,14714.66,-0.0073,,4441.67,-0.00589,
2021-08-27,,Uptrend resumes 07/23,0.0775,0.9225,cash_field,12,15129.5,0.02819,,4509.37,0.01524,
2021-09-03,,Uptrend resumes 07/23,0.0763,0.9237,cash_field,12,15363.52,0.01547,,4535.43,0.00578,
2021-09-10,,Uptrend resumes 07/23,0.2233,0.7767,cash_field,10,15115.5,-0.01615,,4458.58,-0.01694,
2021-09-17,,Uptrend resumes 07/23,0.278,0.722,cash_field,9,15043.97,-0.00473,,4432.99,-0.00574,
2021-10-01,,Market in correction 09/29/21,1.0,0.0,cash_field,0,14566.7,-0.03195,,4357.04,-0.02209,
2021-10-08,,Market in correction 09/29/21,1.0,0.0,cash_field,0,14897.46,0.02181,,4464.88,0.01675,
2021-10-15,,Confirmed uptrend 10-14-21,1.0,0.0,cash_field,0,14897.46,0.02181,,4464.88,0.01675,
2021-10-22,,Confirmed uptrend 10-14-21,1.0,0.0,cash_field,0,15090.28,0.01294,,4544.9,0.01792,
2021-10-29,,Confirmed uptrend 10-14-21,0.7063,0.2937,cash_field,4,15498.39,0.02704,,4605.38,0.01331,
2021-11-05,,Confirmed uptrend 10-14-21,0.4367,0.5633,cash_field,7,15971.59,0.03053,,4697.53,0.02001,
2021-11-12,,Confirmed uptrend 10-14-21,0.237,0.763,cash_field,8,15860.96,-0.00693,,4682.85,-0.00313,
2021-11-19,,Confirmed uptrend 10-14-21,0.3244,0.6756,cash_field,7,16045.27,0.01162,,4695.9,0.00279,
2021-11-26,,Confirmed uptrend 10-14-21,0.3395,0.6605,cash_field,7,15491.66,-0.0345,,4594.81,-0.02153,
2021-12-03,,Market in correction 12/05,0.9923,0.0077,cash_field,7,15085.47,-0.02622,,4538.43,-0.01227,
2021-12-10,,Market in correction 12/05,1.0,0.0,cash_field,0,15630.6,0.03614,,4712.02,0.03825,
2021-12-17,,Uptrend under pressure 12/17,1.0,0.0,cash_field,0,15169.68,-0.02949,,4620.64,-0.01939,
2021-12-23,,Uptrend resumes 12/23,1.0,0.0,cash_field,0,15653.37,0.03189,,4725.79,0.02276,
2021-12-31,,Uptrend resumes 12/23,1.0,0.0,cash_field,0,15644.97,-0.00054,,4766.18,0.00855,
2022-01-07,,Uptrend under pressure 01/05,1.0,0.0,cash_field,0,14935.9,-0.04532,,4677.03,-0.0187,
2022-01-14,,Uptrend under pressure 01/05,1.0,0.0,cash_field,0,14893.75,-0.00282,-0.04802,4662.85,-0.00303,-0.02168
2022-01-21,,Market in correction 01/18/22,1.0,0.0,cash_field,0,13768.92,-0.07552,-0.11991,4397.73,-0.05686,-0.07731
2022-01-28,,Market in correction 01/18/22,1.0,0.0,cash_field,0,13770.57,0.00012,-0.11981,4431.85,0.00776,-0.07015
