section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
headline,stock,STOCK_E3,,,,,,0.4618,-0.0647,0.3649,950167,300167,,
grid,2mo/OTM5/d90/14%/IV40,OPTION,0.4,42,0.05,0.9,0.14,2.6161,-0.0607,0.4267,2350493,1700493,48,27
grid,2mo/OTM5/d85/14%/IV40,OPTION,0.4,42,0.05,0.85,0.14,2.6139,-0.0607,0.4267,2349023,1699023,48,27
grid,2mo/OTM5/d80/14%/IV40,OPTION,0.4,42,0.05,0.8,0.14,2.3092,-0.1012,0.4133,2150957,1500957,49,26
grid,3mo/OTM5/d90/14%/IV40,OPTION,0.4,63,0.05,0.9,0.14,1.8388,-0.0863,0.4667,1845236,1195236,48,27
grid,3mo/OTM5/d85/14%/IV40,OPTION,0.4,63,0.05,0.85,0.14,1.8024,-0.0863,0.4667,1821547,1171547,49,26
grid,3mo/OTM5/d80/14%/IV40,OPTION,0.4,63,0.05,0.8,0.14,1.7824,-0.0881,0.4667,1808536,1158536,50,25
grid,2mo/ATM/d90/14%/IV40,OPTION,0.4,42,0.0,0.9,0.14,1.6361,-0.0759,0.4667,1713495,1063495,52,23
grid,4mo/OTM5/d85/14%/IV40,OPTION,0.4,84,0.05,0.85,0.14,1.5971,-0.093,0.48,1688142,1038142,52,23
grid,4mo/OTM5/d90/14%/IV40,OPTION,0.4,84,0.05,0.9,0.14,1.5755,-0.1046,0.4667,1674050,1024050,50,25
grid,4mo/OTM5/d80/14%/IV40,OPTION,0.4,84,0.05,0.8,0.14,1.5335,-0.1145,0.4667,1646764,996764,53,22
grid,2mo/ATM/d85/14%/IV40,OPTION,0.4,42,0.0,0.85,0.14,1.4795,-0.0813,0.4533,1611654,961654,53,22
grid,2mo/ATM/d80/14%/IV40,OPTION,0.4,42,0.0,0.8,0.14,1.4694,-0.0818,0.4533,1605081,955081,54,21
grid,3mo/ATM/d90/14%/IV40,OPTION,0.4,63,0.0,0.9,0.14,1.3778,-0.0794,0.48,1545579,895579,54,21
grid,2mo/OTM5/d90/7%/IV40,OPTION,0.4,42,0.05,0.9,0.07,1.2574,-0.0411,0.4267,1467295,817295,48,27
grid,2mo/OTM5/d85/7%/IV40,OPTION,0.4,42,0.05,0.85,0.07,1.2564,-0.0411,0.4267,1466642,816642,48,27
grid,2mo/OTM5/d85/14%/IV60,OPTION,0.6,42,0.05,0.85,0.14,1.2196,-0.0934,0.4133,1442755,792755,47,28
grid,4mo/ATM/d90/14%/IV40,OPTION,0.4,84,0.0,0.9,0.14,1.2196,-0.0942,0.4933,1442713,792713,54,21
grid,2mo/OTM5/d90/14%/IV60,OPTION,0.6,42,0.05,0.9,0.14,1.2092,-0.1131,0.3867,1435957,785957,44,31
grid,2mo/OTM5/d80/14%/IV60,OPTION,0.6,42,0.05,0.8,0.14,1.2091,-0.0934,0.4133,1435906,785906,48,27
grid,6mo/OTM5/d80/14%/IV40,OPTION,0.4,126,0.05,0.8,0.14,1.204,-0.0474,0.5067,1432586,782586,56,19
grid,4mo/ATM/d85/14%/IV40,OPTION,0.4,84,0.0,0.85,0.14,1.2036,-0.0942,0.4933,1432362,782362,55,20
grid,6mo/OTM5/d85/14%/IV40,OPTION,0.4,126,0.05,0.85,0.14,1.1956,-0.0477,0.52,1427170,777170,54,21
grid,3mo/ATM/d85/14%/IV40,OPTION,0.4,63,0.0,0.85,0.14,1.186,-0.1117,0.4533,1420927,770927,57,18
grid,6mo/OTM5/d90/14%/IV40,OPTION,0.4,126,0.05,0.9,0.14,1.1739,-0.0548,0.5067,1413044,763044,52,23
