section,portfolio,span,total_ret,cagr,max_dd,win_rate,n_trades,final_equity
headline,machine_timing,2018-12-03..2026-07-01,0.8569,0.0851,-0.1951,0.4416,231,1207001
headline,machine_no_timing,2018-12-03..2026-07-01,3.2446,0.2103,-0.1597,0.4379,354,2759013
headline,naive_buy_all,2018-12-03..2026-07-01,2.3976,0.1752,-0.1271,0.4706,170,2208426
headline,his_book_2023H2_2026,2023-06..2026-06,,,-0.1379,0.3305,118,723818

peryear,portfolio,year,n,wins,pl
peryear,machine_timing,2019,38,13,-10081
peryear,machine_timing,2020,32,18,113903
peryear,machine_timing,2021,38,21,147659
peryear,machine_timing,2022,4,4,45806
peryear,machine_timing,2024,38,19,240748
peryear,machine_timing,2025,48,13,-167788
peryear,machine_timing,2026H1,33,14,186755
peryear,machine_no_timing,2019,42,13,60369
peryear,machine_no_timing,2020,47,22,200122
peryear,machine_no_timing,2021,48,29,595516
peryear,machine_no_timing,2022,73,27,-113953
peryear,machine_no_timing,2023,11,5,42503
peryear,machine_no_timing,2024,37,21,645608
peryear,machine_no_timing,2025,64,21,-43686
peryear,machine_no_timing,2026H1,32,17,722533
peryear,naive_buy_all,2019,29,15,120708
peryear,naive_buy_all,2020,28,13,80061
peryear,naive_buy_all,2021,22,12,530148
peryear,naive_buy_all,2022,3,2,8857
peryear,naive_buy_all,2024,35,13,417599
peryear,naive_buy_all,2025,30,11,-24419
peryear,naive_buy_all,2026H1,23,14,425472
peryear,his_book,2023,12,2,-36632
peryear,his_book,2024,40,17,71198
peryear,his_book,2025,44,16,147627
peryear,his_book,2026H1,22,4,-108375

overlap,machine_entries,354
overlap,machine_names,275
overlap,his_bought_names,98
overlap,name_overlap,33
overlap,timing_overlap_pm30d,11
overlap,diverged_names,242

machine_trade,symbol,entry_date,entry_px,pivot,pattern,exit_date,exit_ret
trade,EEFT,2018-12-03,121.74,121.74,,2018-12-13,-0.1143
trade,LLY,2018-12-03,116.71,116.71,,2018-12-17,-0.0715
trade,INVA,2018-12-03,18.47,18.47,,2018-12-24,-0.1397
trade,MDB,2018-12-03,85.35,85.35,,2018-12-21,-0.1453
trade,BSBR,2019-01-14,11.83,11.83,,2019-02-28,-0.0304
trade,QNST,2019-01-22,19.0,19.0,,2019-02-08,-0.2226
trade,PLNT,2019-01-22,58.6,58.6,,2019-06-24,0.2681
trade,ALRM,2019-01-28,60.3,60.3,,2019-03-04,-0.0534
trade,DECK,2019-02-04,23.01,23.01,,2019-05-13,0.0022
trade,CHGG,2019-02-08,32.92,32.92,,2019-04-05,0.1245
trade,FIVN,2019-02-11,53.35,53.35,,2019-04-04,-0.0667
trade,GLOB,2019-02-11,66.51,66.51,,2019-08-14,0.513
trade,BSBR,2019-03-01,11.2,11.2,,2019-03-27,-0.07
trade,CWST,2019-03-04,34.58,34.58,,2019-04-11,-0.0373
trade,CRMT,2019-03-28,87.6,87.6,,2019-05-23,-0.0015
trade,CCMP,2019-04-08,121.51,121.51,,2019-05-09,-0.0551
trade,PFGC,2019-04-08,38.6,38.6,,2019-06-03,0.0101
trade,EL,2019-04-11,167.02,167.02,,2019-05-31,-0.0359
trade,AVGO,2019-05-09,28.76,28.76,,2019-05-13,0.0202
trade,WING,2019-05-13,75.68,75.68,,2019-08-01,0.171
trade,TSCO,2019-05-13,19.63,19.63,,2019-08-05,0.0469
trade,CPRT,2019-05-23,16.99,16.99,,2019-08-05,0.08
trade,TNDM,2019-06-03,70.16,70.16,,2019-06-25,-0.117
trade,RACE,2019-06-03,136.41,136.41,,2019-08-14,0.1429
trade,WIX,2019-06-25,139.1,139.1,,2019-08-28,-0.0002
trade,CDNS,2019-07-01,70.59,70.59,,2019-08-05,-0.0438
trade,BSX,2019-08-01,43.37,43.37,,2019-08-23,-0.0507
trade,RPD,2019-08-05,53.98,53.98,,2019-08-12,0.0445
trade,MTZ,2019-08-05,58.53,58.53,,2019-10-31,0.0753
trade,TER,2019-08-05,49.93,49.93,,2020-01-31,0.3217
trade,SPLK,2019-08-12,125.08,125.08,,2019-08-12,0.0
trade,ARNA,2019-08-13,49.64,49.64,,2019-09-26,-0.07
trade,WPM,2019-08-23,28.07,28.07,,2019-09-27,-0.047
trade,AMED,2019-09-03,129.83,129.83,,2019-09-26,-0.0038
trade,CMCSA,2019-09-04,42.5,42.5,,2019-11-04,-0.0325
trade,EPRT,2019-09-04,22.97,22.97,,2019-12-12,0.067
trade,TTEK,2019-09-26,17.41,17.41,,2019-11-21,-0.0356
trade,SYY,2019-09-30,79.43,79.43,,2020-02-03,-0.0346
trade,TTC,2019-10-01,73.7,73.7,,2019-10-08,-0.0427
trade,AMED,2019-11-01,142.08,142.08,,2020-02-28,0.2247
trade,EME,2019-11-04,89.65,89.65,,2019-12-03,-0.0385
trade,BOOT,2019-11-04,37.72,37.72,,2020-01-27,0.1103
trade,CPRT,2019-11-21,21.74,21.74,,2020-02-24,0.0667
trade,ACIW,2019-12-03,35.33,35.33,,2020-01-24,0.0147
trade,FND,2019-12-12,49.41,49.41,,2020-03-09,-0.0789
trade,IOVA,2020-01-24,21.96,21.96,,2020-03-12,0.0979
trade,AAXN,2020-01-27,76.72,76.72,,2020-03-05,-0.0202
trade,CROX,2020-02-03,37.1,37.1,,2020-02-07,0.0199
trade,FCN,2020-02-03,122.34,122.34,,2020-02-25,-0.1007
trade,FNV,2020-02-07,114.6,114.6,,2020-03-09,-0.0605
trade,FICO,2020-02-24,373.34,373.34,,2020-03-06,-0.07
trade,ICLR,2020-02-25,156.07,156.07,,2020-03-12,-0.0707
trade,NEO,2020-02-28,26.99,26.99,,2020-03-11,-0.07
trade,NEM,2020-03-12,39.96,39.96,,2020-03-16,-0.1411
trade,EHTH,2020-04-20,129.08,129.08,,2020-04-21,-0.07
trade,MSCI,2020-04-20,323.54,323.54,,2020-06-11,-0.0729
trade,RGEN,2020-04-20,101.09,101.09,,2020-06-11,0.1255
trade,GLOB,2020-04-23,106.43,106.43,,2020-09-08,0.5566
trade,TEAM,2020-04-27,156.08,156.08,,2020-07-14,0.1158
trade,NTES,2020-04-27,72.3,72.3,,2020-09-08,0.2663
trade,LITE,2020-04-28,82.48,82.48,,2020-05-01,-0.07
trade,AMD,2020-05-01,50.3,50.3,,2020-06-24,0.0416
trade,NOW,2020-05-05,72.69,72.69,,2021-01-06,0.3957
trade,GDS,2020-06-12,65.44,65.44,,2020-09-04,0.1719
trade,MSFT,2020-06-15,190.8,190.8,,2020-09-08,0.0622
trade,AMED,2020-06-26,202.86,202.86,,2020-09-23,0.1045
trade,AUDC,2020-07-16,35.05,35.05,,2020-08-24,-0.0608
trade,BABA,2020-08-24,268.1,268.1,,2020-11-10,-0.0058
trade,DAR,2020-09-04,33.83,33.83,,2021-02-25,0.838
trade,ESTC,2020-09-08,99.26,99.26,,2020-10-26,0.0724
trade,ROKU,2020-09-08,169.24,169.24,,2021-02-25,1.2592
trade,DDOG,2020-09-14,84.65,84.65,,2020-10-30,0.0721
trade,NKE,2020-09-24,120.58,120.58,,2021-01-26,0.1204
trade,GDS,2020-10-26,85.09,85.09,,2021-03-03,0.1436
trade,ESTC,2020-10-30,99.66,99.66,,2020-11-09,0.0529
trade,ASML,2020-11-16,409.21,409.21,,2021-03-04,0.2475
trade,AMD,2020-11-23,85.07,85.07,,2021-01-27,0.0443
trade,C,2021-01-06,62.57,62.57,,2021-01-29,-0.0732
trade,ADPT,2021-01-28,53.94,53.94,,2021-02-22,0.0515
trade,CHGG,2021-02-08,104.92,104.92,,2021-02-25,-0.1103
trade,DDOG,2021-02-16,111.59,111.59,,2021-02-17,-0.0725
trade,DOCU,2021-02-18,246.9,246.9,,2021-02-25,-0.0857
trade,TAL,2021-02-26,76.43,76.43,,2021-03-08,-0.0993
trade,DBX,2021-03-22,25.8,25.8,,2021-05-04,-0.0302
trade,IR,2021-03-22,47.88,47.88,,2021-05-11,0.0058
trade,MU,2021-04-12,95.59,95.59,,2021-04-22,-0.1138
trade,MAS,2021-04-12,60.15,60.15,,2021-05-21,0.0086
trade,AME,2021-04-12,125.91,125.91,,2021-06-18,0.0376
trade,TW,2021-04-23,80.72,80.72,,2021-09-14,0.0496
trade,ADBE,2021-04-26,506.61,506.61,,2021-09-24,0.2292
trade,ATKR,2021-05-03,81.1,81.1,,2021-06-10,-0.0794
trade,HUBS,2021-05-04,492.36,492.36,,2021-05-13,-0.0346
trade,GRBK,2021-05-12,21.93,21.93,,2021-06-09,0.0798
trade,NTAP,2021-05-13,71.78,71.78,,2021-07-16,0.0779
trade,UNH,2021-07-12,415.57,415.57,,2021-09-10,-0.0281
trade,CRNC,2021-07-19,101.98,101.98,,2021-08-04,0.0415
trade,ESTC,2021-07-19,137.07,137.07,,2021-09-28,0.107
trade,SSTK,2021-07-26,104.67,104.67,,2021-11-22,0.0832
trade,CVLT,2021-07-28,71.82,71.82,,2021-09-17,0.0308
trade,ZI,2021-08-04,57.82,57.82,,2021-10-04,0.0438
trade,XLNX,2021-09-14,157.4,157.4,,2022-01-05,0.2812
trade,W,2021-09-15,273.09,273.09,,2021-09-29,-0.0082
trade,ENTG,2021-09-20,126.51,126.51,,2021-12-16,0.0547
trade,ALB,2021-11-01,253.2,253.2,,2021-12-14,-0.037
trade,CELH,2021-11-08,36.33,36.33,,2021-11-09,-0.07
trade,ESTC,2021-11-08,173.0,173.0,,2021-11-22,-0.0745
trade,FRHC,2021-11-08,71.55,71.55,,2021-12-03,-0.1159
trade,CRM,2021-11-09,311.5,311.5,,2021-12-01,-0.1926
trade,ESI,2021-11-22,24.73,24.73,,2021-11-30,-0.0752
trade,AAPL,2021-11-22,161.12,161.12,,2022-01-20,0.021
trade,BAC,2021-11-30,42.94,42.94,,2022-01-24,0.0375
