year,symbol,entry,cost,actual_ret,fixed7_ret,fixed7_stopped,fixed7_stopdate,fixed8_ret,fixed8_stopped,fixed8_stopdate,V1_ret,V1_stopped,V1_stopdate,V2_ret,V2_stopped,V2_stopdate,V3_ret,V3_stopped,V3_stopdate,V3b_ret,V3b_stopped,V3b_stopdate,V3_note,data_src,split
2023,HXL,76.6216,51028,-0.1118,-0.0700,True,2023-07-25,-0.0800,True,2023-07-25,-0.0700,True,2023-07-25,-0.0781,True,2023-07-25,-0.0627,True,2023-07-25,-0.0627,True,2023-07-25,ATR20=1.541 stop=73.540 (-4.0% below entry),tiingo_short,False
2023,MCK,413.2400,50991,-0.0411,-0.0411,False,,-0.0411,False,,-0.0411,False,,-0.0411,False,,-0.0371,True,2023-07-31,-0.0411,False,,ATR20=7.668 stop=397.904 (-3.7% below entry),tiingo_short,False
2023,DXCM,128.4100,35724,-0.0243,-0.0243,False,,-0.0243,False,,-0.0243,False,,-0.0243,False,,-0.0243,False,,-0.0243,False,,ATR20=3.748 stop=120.915 (-5.8% below entry),tiingo_short,False
2023,IONQ,20.9549,21105,-0.1424,-0.0756,True,2023-09-13,-0.0800,True,2023-09-13,-0.0756,True,2023-09-13,-0.0756,True,2023-09-13,-0.1424,False,,-0.1424,False,,ATR20=1.706 stop=17.543 (-16.3% below entry),tiingo_short,False
2023,SNPS,442.1600,51226,0.0162,0.0162,False,,0.0162,False,,0.0162,False,,-0.0299,True,2023-08-09,-0.0419,True,2023-08-17,-0.0524,True,2023-08-18,ATR20=9.268 stop=423.623 (-4.2% below entry),tiingo_short,False
2023,MTSI,81.1536,41151,-0.0554,-0.0554,False,,-0.0554,False,,-0.0554,False,,-0.0554,False,,-0.0554,False,,-0.0554,False,,ATR20=2.900 stop=75.354 (-7.1% below entry),tiingo_short,False
2023,ZS,170.3267,52149,-0.0536,-0.0536,False,,-0.0536,False,,-0.0536,False,,-0.0536,False,,-0.0536,False,,-0.0536,False,,ATR20=5.884 stop=158.559 (-6.9% below entry),tiingo_short,False
2023,DUOL,173.8909,41719,-0.1365,-0.0700,True,2023-10-13,-0.0800,True,2023-10-13,-0.0700,True,2023-10-13,-0.1365,False,,-0.0787,True,2023-10-13,-0.0983,True,2023-10-19,ATR20=6.839 stop=160.212 (-7.9% below entry),tiingo_short,False
2023,AIT,151.4795,40426,0.0047,0.0047,False,,0.0047,False,,0.0047,False,,0.0047,False,,-0.0465,True,2023-08-17,-0.0582,True,2023-08-18,ATR20=3.525 stop=144.430 (-4.7% below entry),tiingo_short,False
2023,APPF,205.4317,50927,-0.0982,-0.0700,True,2023-11-28,-0.0800,True,2023-11-29,-0.0700,True,2023-11-28,-0.1178,True,2023-12-07,-0.0723,True,2023-11-28,-0.0904,True,2023-11-30,ATR20=7.425 stop=190.582 (-7.2% below entry),tiingo_short,False
2023,SMCI,320.3658,57644,-0.0828,-0.0700,True,2023-12-22,-0.0800,True,2023-12-22,-0.0700,True,2023-12-22,-0.0700,True,2023-12-22,-0.0987,True,2023-12-22,-0.0828,False,,ATR20=15.805 stop=288.755 (-9.9% below entry),tiingo_short,False
2023,PLTR,19.9030,41245,-0.1318,-0.0700,True,2023-12-04,-0.0800,True,2023-12-04,-0.0700,True,2023-12-04,-0.1393,True,2023-12-06,-0.1112,True,2023-12-06,-0.1224,True,2023-12-06,ATR20=0.974 stop=17.955 (-9.8% below entry),tiingo_short,False
2023,SQQQ,48.5000,24798,-0.7253,-0.7253,False,,-0.7253,False,,-0.7253,False,,-0.7253,False,,-0.7253,False,,-0.7253,False,,missing dates,,False
2024,YELP,47.4281,38349,-0.0825,-0.0700,True,2024-01-10,-0.0800,True,2024-01-11,-0.0700,True,2024-01-10,-0.0825,False,,-0.0479,True,2024-01-05,-0.0598,True,2024-01-10,ATR20=1.135 stop=45.159 (-4.8% below entry),tiingo_short,False
2024,TS,35.0850,40942,-0.1052,-0.0700,True,2024-01-09,-0.0800,True,2024-01-10,-0.0700,True,2024-01-09,-0.0449,True,2024-01-08,-0.0487,True,2023-11-08,-0.0608,True,2023-11-22,ATR20=0.854 stop=33.377 (-4.9% below entry),tiingo_short,False
2024,MNSO,20.4910,41318,0.0182,-0.0700,True,2023-08-11,-0.0800,True,2023-08-11,-0.0700,True,2023-08-11,0.1659,True,2023-11-22,-0.0863,True,2023-08-11,-0.0162,True,2023-12-05,ATR20=0.884 stop=18.723 (-8.6% below entry),tiingo_short,False
2024,ACMR,21.1937,47856,-0.1813,-0.0700,True,2024-01-17,-0.0800,True,2024-01-17,-0.0700,True,2024-01-17,-0.1502,True,2024-01-30,-0.1007,True,2024-01-26,-0.1259,True,2024-01-29,ATR20=1.067 stop=19.059 (-10.1% below entry),tiingo_short,False
2024,MDB,450.2796,56760,-0.0321,-0.0321,False,,-0.0321,False,,-0.0321,False,,-0.0321,False,,-0.0321,False,,-0.0321,False,,ATR20=17.883 stop=414.514 (-7.9% below entry),tiingo_short,False
2024,VKTX,21.5300,17410,0.6213,0.6213,False,,0.6213,False,,0.6213,False,,0.6213,False,,0.6213,False,,0.6213,False,,ATR20=1.348 stop=18.835 (-12.5% below entry),tiingo_short,False
2024,BIRK,52.9713,52030,-0.0928,-0.0980,True,2024-02-29,-0.0980,True,2024-02-29,-0.0980,True,2024-02-29,-0.0928,False,,-0.0980,True,2024-02-29,-0.1012,True,2024-02-29,ATR20=2.144 stop=48.684 (-8.1% below entry),tiingo_short,False
