cik,ticker,source,entity_name
1099160,BBGI,fundamentals,
1958140,BATRA,fundamentals,
1718500,AXIL,fundamentals,
1534120,AVTX,fundamentals,
1600620,AUPH,fundamentals,
1420520,ATOM,fundamentals,
1388320,ATNM,fundamentals,
720500,ASYS,fundamentals,
1426800,ASMB,fundamentals,
1477720,ASAN,fundamentals,
1086600,ARLP,fundamentals,
1467760,ARI,fundamentals,
1974640,APGE,fundamentals,
1999480,ANRO,fundamentals,
1790169,ZSTK,fundamentals,
1136869,ZBH,fundamentals,
1610940,BDRY,fundamentals,
12040,BDL,fundamentals,
1610820,BCTX,fundamentals,
1865200,ANGX,fundamentals,
1018840,ANF,fundamentals,
1459200,ALRM,fundamentals,
1567900,ALOY,fundamentals,
1870940,AIRS,fundamentals,
1984060,AESI,fundamentals,
1478320,ADPT,fundamentals,
1160420,ADIA,fundamentals,
1720580,ACET,fundamentals,
2096900,ACAA,fundamentals,
1800,ABT,fundamentals,
1559720,ABNB,fundamentals,
1847360,BCOW,fundamentals,
1036960,CIK1036960,fundamentals,
1036500,CIK1036500,fundamentals,
1029800,CIK1029800,fundamentals,
1024920,CIK1024920,fundamentals,
1024520,CIK1024520,fundamentals,
1023860,CIK1023860,fundamentals,
1017480,CIK1017480,fundamentals,
1016900,CIK1016900,fundamentals,
1015780,CIK1015780,fundamentals,
1012620,CIK1012620,fundamentals,
1012140,CIK1012140,fundamentals,
1012100,CIK1012100,fundamentals,
1006840,CIK1006840,fundamentals,
1006820,CIK1006820,fundamentals,
1004440,CIK1004440,fundamentals,
1002360,CIK1002360,fundamentals,
1081860,CIK1081860,fundamentals,
1080360,CIK1080360,fundamentals,
1077800,CIK1077800,fundamentals,
1076700,CIK1076700,fundamentals,
1071760,CIK1071760,fundamentals,
1070380,CIK1070380,fundamentals,
1069680,CIK1069680,fundamentals,
1068300,CIK1068300,fundamentals,
1065860,CIK1065860,fundamentals,
1062720,CIK1062720,fundamentals,
1052100,CIK1052100,fundamentals,
1050180,CIK1050180,fundamentals,
1048620,CIK1048620,fundamentals,
1046880,CIK1046880,fundamentals,
1038280,CIK1038280,fundamentals,
1037760,CIK1037760,fundamentals,
1108320,CIK1108320,fundamentals,
1107160,CIK1107160,fundamentals,
1104280,CIK1104280,fundamentals,
1103640,CIK1103640,fundamentals,
1103120,CIK1103120,fundamentals,
1101680,CIK1101680,fundamentals,
1101020,CIK1101020,fundamentals,
1100380,CIK1100380,fundamentals,
1098880,CIK1098880,fundamentals,
1096840,CIK1096840,fundamentals,
1095600,CIK1095600,fundamentals,
1093800,CIK1093800,fundamentals,
1088120,CIK1088120,fundamentals,
1086740,CIK1086740,fundamentals,
1085280,CIK1085280,fundamentals,
1084580,CIK1084580,fundamentals,
1157780,CIK1157780,fundamentals,
1145460,CIK1145460,fundamentals,
1144320,CIK1144320,fundamentals,
1142380,CIK1142380,fundamentals,
1138400,CIK1138400,fundamentals,
1133260,CIK1133260,fundamentals,
1129920,CIK1129920,fundamentals,
1129260,CIK1129260,fundamentals,
1129120,CIK1129120,fundamentals,
1127160,CIK1127160,fundamentals,
1125920,CIK1125920,fundamentals,
1125280,CIK1125280,fundamentals,
1117480,CIK1117480,fundamentals,
1114220,CIK1114220,fundamentals,
1114200,CIK1114200,fundamentals,
1112920,CIK1112920,fundamentals,
1203900,CIK1203900,fundamentals,
1179500,CIK1179500,fundamentals,
1179060,CIK1179060,fundamentals,
1174820,CIK1174820,fundamentals,
1172480,CIK1172480,fundamentals,
1171500,CIK1171500,fundamentals,
1169440,CIK1169440,fundamentals,
1168960,CIK1168960,fundamentals,
1168220,CIK1168220,fundamentals,
1166380,CIK1166380,fundamentals,
1166220,CIK1166220,fundamentals,
1165880,CIK1165880,fundamentals,
1165320,CIK1165320,fundamentals,
1163300,CIK1163300,fundamentals,
1162000,CIK1162000,fundamentals,
1158420,CIK1158420,fundamentals,
1287900,CIK1287900,fundamentals,
1285480,CIK1285480,fundamentals,
1283140,CIK1283140,fundamentals,
1282400,CIK1282400,fundamentals,
1280600,CIK1280600,fundamentals,
1278140,CIK1278140,fundamentals,
1271940,CIK1271940,fundamentals,
1270400,CIK1270400,fundamentals,
1270200,CIK1270200,fundamentals,
1265840,CIK1265840,fundamentals,
1262200,CIK1262200,fundamentals,
1256540,CIK1256540,fundamentals,
12400,CIK12400,fundamentals,
1222840,CIK1222840,fundamentals,
1213660,CIK1213660,fundamentals,
1204560,CIK1204560,fundamentals,
1344980,CIK1344980,fundamentals,
1341780,CIK1341780,fundamentals,
1338520,CIK1338520,fundamentals,
1338460,CIK1338460,fundamentals,
1334740,CIK1334740,fundamentals,
1328300,CIK1328300,fundamentals,
1325740,CIK1325740,fundamentals,
1325460,CIK1325460,fundamentals,
1317880,CIK1317880,fundamentals,
1316360,CIK1316360,fundamentals,
1307140,CIK1307140,fundamentals,
1304740,CIK1304740,fundamentals,
1304280,CIK1304280,fundamentals,
1297720,CIK1297720,fundamentals,
1295560,CIK1295560,fundamentals,
1292900,CIK1292900,fundamentals,
1372620,CIK1372620,fundamentals,
1372020,CIK1372020,fundamentals,
1372000,CIK1372000,fundamentals,
1370880,CIK1370880,fundamentals,
1369140,CIK1369140,fundamentals,
1368900,CIK1368900,fundamentals,
1367920,CIK1367920,fundamentals,
1366340,CIK1366340,fundamentals,
1365160,CIK1365160,fundamentals,
1364560,CIK1364560,fundamentals,
1364100,CIK1364100,fundamentals,
1362180,CIK1362180,fundamentals,
1361540,CIK1361540,fundamentals,
1355420,CIK1355420,fundamentals,
