Issue Date,S&P 500 Last,Net Equity %,NLC Value,NLC Regime,Fwd 1m %,Fwd 3m %,Fwd 6m %,Drawdown from peak %,dNetEquity
2023-01-20,3999.09,50.0,-71.0,Distribution easing (SV +9),2.28,3.46,12.66,0.0,
2023-02-17,4090.46,53.0,23.0,Selling Vacuum (>+20),-5.6,0.82,9.13,0.0,3.0
2023-03-17,3861.59,53.0,-23.6,Distribution reappeared,7.15,11.32,15.43,-5.6,0.0
2023-04-21,4137.64,48.0,,Neutral (SV failed),-0.33,8.89,4.6,0.0,-5.0
2023-05-19,4124.08,48.0,,Distribution returning,4.24,8.24,7.06,-0.33,0.0
2023-06-16,4298.86,48.0,3.0,Weak SV / Distribution,4.8,3.69,7.11,0.0,0.0
2023-07-21,4505.42,51.0,,AI Speculation Index debut,-0.92,-3.94,6.18,0.0,3.0
2023-08-18,4464.05,51.0,13.0,SV +13 (verge of Distribution),-0.15,-1.09,12.6,-0.92,0.0
2023-09-15,4457.49,51.0,8.0,SV +8 (Distribution likely),-2.91,3.3,14.95,-1.06,0.0
2023-10-20,4327.78,45.0,-100.0,Distribution -100,2.02,10.54,18.38,-3.94,-6.0
2023-11-17,4415.24,49.0,-100.0,Distribution -100 (easing),4.28,13.85,18.29,-2.0,4.0
2023-12-15,4604.37,49.0,-44.0,Distribution -44 (SV +5),3.9,11.28,17.97,0.0,0.0
2024-01-19,4783.83,49.0,17.0,Selling Vacuum +17 (weak),5.08,7.1,17.38,0.0,0.0
2024-02-16,5026.61,49.0,14.0,Selling Vacuum +14,1.93,3.9,6.32,0.0,0.0
2024-03-15,5123.69,53.0,,A/D Divergence warning,-0.01,6.01,9.8,0.0,4.0
2024-04-19,5123.41,58.0,,AI Index 180-turn down,1.94,9.6,13.5,-0.01,5.0
2024-05-17,5222.68,58.0,3.0,Neutral (SV +3 / Dist 0),4.0,2.33,14.8,0.0,0.0
2024-06-21,5431.6,58.0,2.0,Neutral (SV +2 / Dist 0),3.38,3.58,11.41,0.0,0.0
2024-07-19,5615.35,58.0,8.7,Selling Vacuum +8.7,-4.83,3.56,3.77,0.0,0.0
2024-08-16,5344.16,55.0,7.0,SV +7 (Dist could trigger Sep),5.27,12.19,14.42,-4.83,-3.0
2024-09-20,5626.02,55.0,11.0,Selling Vacuum +11 (stalling),3.36,7.56,0.23,0.0,0.0
2024-10-18,5815.03,55.0,,Priced to Perfection,3.1,0.21,-7.77,0.0,0.0
2024-11-15,5995.54,57.0,,IIPB Extreme Optimism (bearish),0.93,1.99,-5.6,0.0,2.0
2024-12-20,6051.09,61.0,,Neutral (Dist likely within a week),-3.7,-6.81,-1.22,0.0,4.0
2025-01-17,5827.04,58.0,-29.0,Distribution -29,4.94,-7.96,7.43,-3.7,-3.0
2025-02-21,6114.63,58.0,,Distribution (stubborn),-7.78,-7.44,4.49,0.0,0.0
2025-03-21,5638.94,58.0,-41.0,Distribution -41 (deepening),-4.89,5.99,16.76,-7.78,0.0
2025-04-18,5363.36,54.0,-100.0,Distribution -100,5.53,16.71,22.17,-12.29,-4.0
2025-05-16,5659.91,54.0,-96.0,Distribution -96,5.6,12.89,18.98,-7.44,0.0
2025-06-20,5976.97,57.0,-26.0,Distribution -26 (brief SV +1),4.73,10.16,14.23,-2.25,3.0
2025-07-18,6259.75,57.0,4.0,Selling Vacuum +4 (bullish flip),2.07,4.68,11.29,0.0,0.0
2025-08-15,6389.45,57.0,,SV failed (Dist expected late Oct),3.05,5.39,6.99,0.0,0.0
2025-09-19,6584.29,57.0,12.0,Selling Vacuum +12 (stalled <+20),-0.48,3.69,0.73,0.0,0.0
2025-10-17,6552.51,57.0,,Distribution could reappear,2.77,6.31,4.03,-0.48,0.0
2025-11-21,6734.11,50.0,-17.0,Distribution -17 reemerged,1.39,1.52,9.87,0.0,-7.0
2025-12-19,6827.41,53.0,-20.0,Distribution -20 eased to 0,2.03,-2.86,8.85,0.0,3.0
2026-01-16,6966.28,55.0,0.0,"Neutral (Dist 0, SV <+20)",-1.87,-2.14,,0.0,2.0
2026-02-20,6836.17,51.0,,Distribution (AI Index -29%),-2.98,8.23,,-1.87,-4.0
2026-03-20,6632.19,51.0,-14.0,Distribution -14 reappeared,2.78,12.05,,-4.8,0.0
2026-04-17,6816.89,53.0,,Selling Vacuum reemerged,8.54,,,-2.14,2.0
2026-05-15,7398.93,53.0,2.7,SV +2.7 stalling / Dist 0,0.44,,,0.0,0.0
2026-06-19,7431.46,51.5,-4.0,Distribution -4.0,,,,0.0,-1.5

"=== CORRELATIONS (Pearson r, n pairs) ==="
corr_neteq_f1,-0.217,n=41
corr_neteq_f3,-0.341,n=39
corr_neteq_f6,-0.318,n=36
corr_nlc_f1,-0.345,n=28
corr_nlc_f3,-0.522,n=27
corr_nlc_f6,-0.636,n=25
corr_dneteq_f3,-0.201,n=38

=== REGIME: Fwd 3m return ===
Distribution regimes,6.01,n=20,sd=6.74
Non-Distribution (SV/Neutral),3.61,n=19,sd=4.57
Difference (Dist - NonDist),2.4

=== DRAWDOWN EVENTS (dd <= -5% from peak) ===
Date,Drawdown %,NetEq at trough,dNetEq prior month,dNetEq 2mo prior
2023-03-17,-5.6,53.0,3.0,
2025-03-21,-7.8,58.0,0.0,-3.0
2025-04-18,-12.3,54.0,0.0,0.0
2025-05-16,-7.4,54.0,-4.0,0.0
